Date,City,Temperature_Min_C,Temperature_Max_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Weather_Condition
2021-01-01,Ahmedabad,7.9,28.9,42.6,0.0,11.3,Partly Cloudy
2021-01-01,Bangalore,12.9,26.3,50.2,0.0,10.1,Partly Cloudy
2021-01-01,Bikaner,7.6,22.8,43.4,0.0,6.1,Partly Cloudy
2021-01-01,Chennai,22.6,27.4,68.7,0.0,14.5,Partly Cloudy
2021-01-01,Darjeeling,0.8,7.6,71.3,0.0,4.2,Foggy
2021-01-01,Delhi,4.0,21.7,65.2,0.0,11.6,Clear
2021-01-01,Hyderabad,17.1,33.7,57.2,0.0,8.8,Pleasant
2021-01-01,Jaisalmer,4.9,22.9,38.3,0.0,8.8,Clear
2021-01-01,Jodhpur,9.5,26.5,55.8,0.0,11.3,Sunny
2021-01-01,Kochi,22.8,29.1,80.2,0.0,18.5,Humid
2021-01-01,Kolkata,13.0,26.8,73.5,0.0,3.0,Pleasant
2021-01-01,Leh,-15.1,-3.8,49.5,1.7,13.6,Light Rain
2021-01-01,Mumbai,16.2,35.5,65.5,0.0,11.6,Sunny
2021-01-01,Pune,10.8,28.6,55.2,0.0,13.5,Partly Cloudy
2021-01-01,Shimla,-0.6,9.5,63.2,3.6,11.6,Light Rain
2021-01-01,Srinagar,-5.5,2.8,62.1,4.9,16.2,Drizzle
2021-01-02,Ahmedabad,14.6,29.5,59.4,0.0,8.1,Partly Cloudy
2021-01-02,Bangalore,17.9,29.5,60.2,0.0,5.4,Clear
2021-01-02,Bikaner,7.8,16.7,58.5,0.0,11.3,Light Rain
2021-01-02,Chennai,21.6,26.8,56.8,11.4,15.9,Rainy
2021-01-02,Darjeeling,3.6,11.9,64.8,0.0,9.5,Foggy
2021-01-02,Delhi,9.7,19.8,64.9,0.0,13.3,Foggy
2021-01-02,Hyderabad,17.8,28.1,64.4,0.0,7.5,Partly Cloudy
2021-01-02,Jaisalmer,7.3,26.9,45.3,0.0,12.5,Partly Cloudy
2021-01-02,Jodhpur,10.2,23.7,56.4,0.0,9.8,Sunny
2021-01-02,Kochi,20.1,29.4,66.3,0.0,11.2,Humid
2021-01-02,Kolkata,14.5,31.3,58.6,1.9,7.1,Drizzle
2021-01-02,Leh,-16.9,-8.9,52.8,0.4,11.0,Drizzle
2021-01-02,Mumbai,23.2,36.6,73.0,0.0,12.2,Clear
2021-01-02,Pune,12.3,30.9,38.4,0.2,7.8,Light Rain
2021-01-02,Shimla,-1.8,9.3,42.7,0.0,11.0,Snow
2021-01-02,Srinagar,-2.8,8.3,74.9,8.5,7.6,Light Rain
2021-01-03,Ahmedabad,12.5,30.7,41.3,0.0,16.3,Clear
2021-01-03,Bangalore,15.7,23.7,66.7,0.0,9.9,Partly Cloudy
2021-01-03,Bikaner,10.0,24.3,71.0,0.0,13.4,Partly Cloudy
2021-01-03,Chennai,19.3,28.8,64.6,1.1,16.9,Light Rain
2021-01-03,Darjeeling,0.1,12.7,77.3,0.0,6.1,Cloudy
2021-01-03,Delhi,7.7,22.7,65.1,0.0,4.2,Foggy
2021-01-03,Hyderabad,16.1,31.0,44.3,2.1,16.5,Drizzle
2021-01-03,Jaisalmer,6.4,24.1,42.7,0.0,4.5,Sunny
2021-01-03,Jodhpur,8.9,28.2,49.6,0.0,4.0,Partly Cloudy
2021-01-03,Kochi,23.7,34.3,73.0,0.0,11.9,Partly Cloudy
2021-01-03,Kolkata,13.9,27.8,63.8,0.0,4.1,Clear
2021-01-03,Leh,-17.8,-2.1,33.1,0.0,15.1,Snow
2021-01-03,Mumbai,14.6,31.9,59.3,0.0,14.0,Partly Cloudy
2021-01-03,Pune,12.1,28.4,61.4,0.0,9.0,Pleasant
2021-01-03,Shimla,2.3,7.9,55.5,0.0,15.1,Snow
2021-01-03,Srinagar,-4.1,7.2,68.1,0.0,4.1,Foggy
2021-01-04,Ahmedabad,12.8,23.9,48.2,0.0,7.1,Pleasant
2021-01-04,Bangalore,13.0,27.5,65.8,0.0,5.2,Pleasant
2021-01-04,Bikaner,8.9,23.9,50.3,0.0,8.0,Partly Cloudy
2021-01-04,Chennai,17.2,28.7,67.8,0.0,7.5,Clear
2021-01-04,Darjeeling,3.6,8.2,73.3,1.0,16.9,Light Rain
2021-01-04,Delhi,7.8,22.0,43.5,0.0,8.8,Clear
2021-01-04,Hyderabad,14.7,33.5,53.2,0.0,6.4,Partly Cloudy
2021-01-04,Jaisalmer,5.9,25.2,31.1,0.0,14.7,Partly Cloudy
2021-01-04,Jodhpur,12.8,22.6,53.5,0.0,16.2,Partly Cloudy
2021-01-04,Kochi,23.3,31.2,61.7,3.2,11.3,Light Rain
2021-01-04,Kolkata,12.6,27.9,61.8,0.6,13.1,Drizzle
2021-01-04,Leh,-19.1,-4.9,52.1,0.0,15.9,Clear
2021-01-04,Mumbai,18.4,33.0,43.1,0.0,14.8,Clear
2021-01-04,Pune,12.8,31.3,37.3,0.0,11.2,Pleasant
2021-01-04,Shimla,-0.4,12.8,65.8,6.9,14.5,Light Rain
2021-01-04,Srinagar,0.6,10.2,67.6,0.0,6.5,Foggy
2021-01-05,Ahmedabad,11.2,28.3,40.0,0.0,16.4,Partly Cloudy
2021-01-05,Bangalore,16.9,26.3,55.5,0.0,8.2,Pleasant
2021-01-05,Bikaner,11.4,21.9,59.1,0.0,10.4,Clear
2021-01-05,Chennai,19.8,29.6,73.9,0.0,20.0,Cloudy
2021-01-05,Darjeeling,0.5,7.6,77.3,0.0,8.0,Foggy
2021-01-05,Delhi,7.6,23.6,77.6,0.0,5.8,Clear
2021-01-05,Hyderabad,10.4,27.7,43.4,0.0,14.1,Pleasant
2021-01-05,Jaisalmer,3.4,28.0,38.3,0.0,12.2,Sunny
2021-01-05,Jodhpur,11.2,26.1,56.6,0.0,8.8,Clear
2021-01-05,Kochi,22.5,27.3,84.9,0.0,17.6,Clear
2021-01-05,Kolkata,12.9,27.3,70.9,0.0,8.3,Partly Cloudy
2021-01-05,Leh,-16.5,-5.6,39.8,0.0,15.4,Clear
2021-01-05,Mumbai,12.8,27.9,67.5,0.0,7.7,Sunny
2021-01-05,Pune,15.9,27.0,45.4,0.0,7.8,Pleasant
2021-01-05,Shimla,-0.8,3.4,63.6,0.0,18.8,Cloudy
2021-01-05,Srinagar,-5.0,9.3,77.0,5.1,5.8,Drizzle
2021-01-06,Ahmedabad,9.4,27.5,61.2,0.0,11.4,Partly Cloudy
2021-01-06,Bangalore,13.6,26.0,79.5,0.0,8.9,Partly Cloudy
2021-01-06,Bikaner,7.2,22.7,35.4,0.0,8.5,Partly Cloudy
2021-01-06,Chennai,18.4,33.3,73.0,0.0,13.8,Cloudy
2021-01-06,Darjeeling,3.3,9.9,65.3,2.9,8.6,Drizzle
2021-01-06,Delhi,5.1,22.1,76.5,1.7,2.8,Drizzle
2021-01-06,Hyderabad,13.3,28.8,59.7,0.0,16.1,Clear
2021-01-06,Jaisalmer,8.9,26.9,48.3,0.0,14.4,Clear
2021-01-06,Jodhpur,9.4,23.2,37.9,0.4,6.3,Light Rain
2021-01-06,Kochi,23.6,30.3,75.6,0.0,3.4,Partly Cloudy
2021-01-06,Kolkata,15.0,27.9,65.7,1.2,5.5,Light Rain
2021-01-06,Leh,-14.5,-8.2,36.8,0.5,13.9,Light Rain
2021-01-06,Mumbai,19.7,32.4,63.4,0.0,13.8,Clear
2021-01-06,Pune,11.7,29.6,54.8,0.0,10.2,Pleasant
2021-01-06,Shimla,-2.5,11.1,56.3,4.8,12.7,Light Rain
2021-01-06,Srinagar,-1.9,3.6,62.4,3.7,6.3,Light Rain
2021-01-07,Ahmedabad,13.6,24.0,62.7,0.0,10.3,Clear
2021-01-07,Bangalore,15.8,28.7,66.3,0.0,9.2,Partly Cloudy
2021-01-07,Bikaner,6.4,20.2,34.6,0.0,6.0,Sunny
2021-01-07,Chennai,17.9,29.2,75.0,0.0,17.2,Partly Cloudy
2021-01-07,Darjeeling,5.4,7.1,67.2,0.0,4.8,Foggy
2021-01-07,Delhi,7.2,20.5,72.7,0.0,7.9,Cloudy
2021-01-07,Hyderabad,11.3,25.2,46.6,0.0,9.6,Partly Cloudy
2021-01-07,Jaisalmer,9.9,28.6,52.2,0.0,13.3,Partly Cloudy
2021-01-07,Jodhpur,10.4,23.1,53.6,0.0,7.9,Clear
2021-01-07,Kochi,25.5,29.5,67.4,0.0,8.2,Partly Cloudy
2021-01-07,Kolkata,16.3,32.2,69.8,0.0,12.6,Clear
2021-01-07,Leh,-15.3,-5.8,36.8,0.0,9.8,Cloudy
2021-01-07,Mumbai,15.4,33.0,65.6,0.0,8.7,Sunny
2021-01-07,Pune,11.4,27.1,48.9,7.6,10.1,Light Rain
2021-01-07,Shimla,-1.0,8.3,68.9,0.0,14.8,Cloudy
2021-01-07,Srinagar,-1.2,11.4,76.6,0.0,7.2,Foggy
2021-01-08,Ahmedabad,11.3,32.0,50.9,0.0,5.9,Pleasant
2021-01-08,Bangalore,16.0,22.7,60.9,0.0,5.1,Pleasant
2021-01-08,Bikaner,4.3,22.7,46.3,0.0,9.1,Clear
2021-01-08,Chennai,15.5,30.7,85.5,0.0,12.3,Partly Cloudy
2021-01-08,Darjeeling,5.1,11.6,75.2,0.0,6.2,Cloudy
2021-01-08,Delhi,7.9,17.4,64.8,0.0,6.3,Foggy
2021-01-08,Hyderabad,13.6,28.8,48.9,0.0,8.4,Clear
2021-01-08,Jaisalmer,9.1,23.9,28.9,0.0,10.2,Sunny
2021-01-08,Jodhpur,10.7,19.1,52.2,0.0,14.5,Partly Cloudy
2021-01-08,Kochi,22.9,31.4,78.1,0.0,10.9,Humid
2021-01-08,Kolkata,11.0,29.7,68.7,0.0,12.6,Clear
2021-01-08,Leh,-16.7,-3.8,55.2,0.0,13.4,Snow
2021-01-08,Mumbai,19.7,31.7,58.7,0.0,13.4,Sunny
2021-01-08,Pune,14.9,30.4,52.7,0.0,6.3,Pleasant
2021-01-08,Shimla,-1.9,9.1,58.6,1.6,9.2,Light Rain
2021-01-08,Srinagar,-5.7,6.5,70.0,0.0,6.6,Cloudy
2021-01-09,Ahmedabad,12.6,26.2,63.2,0.0,12.2,Pleasant
2021-01-09,Bangalore,14.5,28.1,73.3,0.0,11.2,Partly Cloudy
2021-01-09,Bikaner,8.9,22.8,51.5,0.0,6.1,Clear
2021-01-09,Chennai,18.2,26.7,65.6,0.0,17.7,Cloudy
2021-01-09,Darjeeling,0.9,10.6,76.2,0.0,8.9,Cloudy
2021-01-09,Delhi,8.9,20.0,72.8,2.4,8.1,Light Rain
2021-01-09,Hyderabad,16.1,29.0,74.6,0.0,7.8,Clear
2021-01-09,Jaisalmer,9.4,25.1,37.9,0.0,5.7,Partly Cloudy
