order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,725,3,646.07,1938.21
2,1,136,6,5112.84,30677.04
3,1,3993,5,25.83,129.15
4,1,1055,2,219.02,438.04
5,2,4382,7,651.25,4558.75
6,2,22,7,356.36,2494.52
7,3,1532,9,35.23,317.07
8,3,3694,3,2442.21,7326.63
9,3,4188,8,170.81,1366.48
10,3,273,3,2862.22,8586.66
11,3,2067,6,12.89,77.34
12,4,2537,6,2161.01,12966.06
13,4,1911,2,6723.61,13447.22
14,4,411,8,1453.94,11631.52
15,4,3263,10,128.73,1287.3
16,5,3913,1,2272.91,2272.91
17,6,4729,7,5451.32,38159.24
18,7,4499,10,19.3,193.0
19,8,3809,5,1335.51,6677.55
20,8,2162,4,723.69,2894.76
21,8,2646,10,154.08,1540.8
22,8,1851,5,189.67,948.35
23,9,4038,2,358.65,717.3
24,9,3330,2,1748.89,3497.78
25,9,2972,7,451.09,3157.63
26,10,2015,7,1735.1,12145.7
27,10,155,7,776.05,5432.35
28,11,142,2,3552.2,7104.4
29,12,1341,4,636.17,2544.68
30,12,570,3,295.11,885.33
31,13,177,4,509.85,2039.4
32,13,3270,8,1318.62,10548.96
33,14,3501,9,2938.25,26444.25
34,14,2320,8,96.0,768.0
35,15,322,9,1220.9,10988.1
36,15,708,7,6952.1,48664.7
37,16,347,4,56.97,227.88
38,16,2807,1,443.06,443.06
39,16,1698,5,180.91,904.55
40,16,1049,1,4579.84,4579.84
41,16,3280,3,1147.91,3443.73
42,17,2814,9,308.82,2779.38
43,17,73,5,473.84,2369.2
44,17,1120,5,2417.74,12088.7
45,17,4543,6,32.56,195.36
46,17,817,2,746.34,1492.68
47,18,4305,9,70.35,633.15
48,18,1826,10,970.22,9702.2
49,18,1311,2,481.58,963.16
50,18,535,5,188.08,940.4
51,19,3093,8,433.95,3471.6
52,19,4509,6,1341.11,8046.66
53,20,3700,4,358.0,1432.0
54,20,1590,5,568.97,2844.85
55,20,3168,7,633.77,4436.39
56,20,3953,7,13236.76,92657.32
57,20,3271,9,361.81,3256.29
58,21,1702,1,1041.47,1041.47
59,21,216,8,1560.97,12487.76
60,22,3866,1,167.66,167.66
61,22,1967,9,371.89,3347.01
62,23,4048,5,34084.22,170421.1
63,23,3544,5,99.34,496.7
64,23,1903,9,2905.31,26147.79
65,23,2799,1,291.54,291.54
66,24,4246,3,49.4,148.2
67,24,3048,8,301.94,2415.52
68,24,251,5,75.44,377.2
69,24,2177,6,44.84,269.04
70,24,2854,5,696.05,3480.25
71,25,4572,4,319.21,1276.84
72,25,3009,9,2536.76,22830.84
73,26,3928,5,1000.58,5002.9
74,26,1409,2,308.15,616.3
75,26,385,10,160.12,1601.2
76,26,2184,4,3920.13,15680.52
77,26,4456,1,771.01,771.01
78,27,2307,8,1242.27,9938.16
79,27,4838,5,160.21,801.05
80,27,4186,10,857.33,8573.3
81,28,1904,1,870.5,870.5
82,28,983,9,117.23,1055.07
83,28,3487,1,4963.67,4963.67
84,28,4389,1,622.26,622.26
85,28,3840,6,313.92,1883.52
86,29,4699,4,604.31,2417.24
87,29,4833,9,1207.6,10868.4
88,30,3079,8,710.27,5682.16
89,30,3471,1,435.94,435.94
90,30,237,5,23.97,119.85
91,31,3925,1,337.18,337.18
92,31,4834,9,1266.76,11400.84
93,32,3369,6,911.72,5470.32
94,32,2390,9,2362.52,21262.68
95,33,2457,4,209.46,837.84
96,33,1772,9,6356.19,57205.71
97,33,68,6,2252.75,13516.5
98,33,1779,7,262.61,1838.27
99,33,1895,5,437.93,2189.65
100,34,652,7,2709.33,18965.31
101,34,4059,9,2116.65,19049.85
102,34,334,5,181.07,905.35
103,34,3638,9,871.05,7839.45
104,35,2824,5,60.75,303.75
105,36,2852,3,1745.17,5235.51
106,36,4799,3,23.08,69.24
107,36,3037,9,299.1,2691.9
108,37,2147,10,45.3,453.0
109,37,882,5,225.5,1127.5
110,38,55,9,2347.5,21127.5
111,38,3672,5,1850.26,9251.3
112,38,2674,10,222.82,2228.2
113,38,1417,2,544.64,1089.28
114,38,4151,10,456.69,4566.9
115,39,801,1,2042.71,2042.71
116,39,2840,9,393.88,3544.92
117,40,3186,9,3679.27,33113.43
118,40,3276,10,3819.11,38191.1
119,40,2106,7,5875.92,41131.44
120,40,537,9,137.55,1237.95
121,41,679,7,2034.74,14243.18
122,41,2641,8,7544.45,60355.6
123,41,513,5,349.39,1746.95
124,42,4088,9,563.58,5072.22
125,43,2558,2,502.54,1005.08
126,43,246,6,302.73,1816.38
127,43,3287,7,304.73,2133.11
128,43,1590,3,568.97,1706.91
129,44,1461,5,406.23,2031.15
130,44,3465,4,650.37,2601.48
131,44,262,3,457.29,1371.87
132,44,2787,8,157.53,1260.24
133,45,3396,6,62.53,375.18
134,45,1907,6,47.38,284.28
135,45,3937,9,3257.99,29321.91
136,45,3143,7,430.94,3016.58
137,45,3204,8,3404.68,27237.44
138,46,3495,1,1076.92,1076.92
139,46,1794,3,1368.7,4106.1
140,47,912,3,694.6,2083.8
141,48,2635,9,6403.14,57628.26
142,48,3519,2,3408.02,6816.04
143,48,2933,5,131.73,658.65
144,49,4735,9,773.58,6962.22
145,49,2445,5,235.13,1175.65
146,49,830,9,327.65,2948.85
147,49,2852,2,1745.17,3490.34
148,50,4869,7,623.29,4363.03
149,50,4201,4,720.61,2882.44
150,50,1300,8,810.1,6480.8
151,50,3433,3,1094.42,3283.26
152,50,4368,10,524.91,5249.1
153,51,4187,3,16953.37,50860.11
154,52,3973,2,842.14,1684.28
155,52,227,6,550.61,3303.66
156,53,3431,1,1006.69,1006.69
157,53,1347,4,10.85,43.4
158,53,1851,10,189.67,1896.7
