order_id,customer_id,order_date,order_status,total_amount
1,1804,2025-03-03,Confirmed,13631.66
2,3970,2024-07-16,Confirmed,36811.25
3,1080,2024-11-27,Confirmed,31921.25
4,4230,2024-05-12,Confirmed,658.29
5,4020,2024-04-20,Cancelled,30755.25
6,1460,2026-02-08,Pending,21198.89
7,3116,2024-11-07,Cancelled,12118.43
8,3967,2025-02-03,Cancelled,33018.58
9,2459,2024-08-14,Confirmed,43814.43
10,3974,2025-12-27,Delivered,39938.94
11,4898,2025-03-19,Shipped,27398.96
12,791,2024-12-10,Confirmed,6062.19
13,3438,2024-12-02,Delivered,16607.15
14,3481,2025-12-21,Pending,9221.62
15,931,2025-01-03,Shipped,34999.94
16,1050,2026-02-02,Delivered,42085.98
17,4924,2025-06-26,Delivered,34517.49
18,2384,2024-03-12,Shipped,25620.63
19,499,2025-04-05,Cancelled,38704.03
20,2602,2024-11-05,Delivered,19873.23
21,3484,2025-05-09,Delivered,13404.62
22,2199,2024-04-07,Delivered,36545.25
23,374,2025-01-24,Shipped,22658.0
24,4690,2024-09-25,Confirmed,27032.65
25,904,2025-11-13,Cancelled,30732.19
26,4956,2024-06-23,Cancelled,1486.04
27,3107,2024-03-04,Pending,39131.46
28,2890,2025-01-18,Cancelled,3641.51
29,4249,2024-04-02,Confirmed,18423.84
30,1287,2024-09-02,Cancelled,20078.55
31,2378,2024-10-03,Confirmed,45577.36
32,3387,2025-01-16,Confirmed,27871.08
33,112,2024-10-23,Pending,42351.36
34,840,2025-08-04,Cancelled,20197.9
35,347,2025-06-22,Confirmed,14512.94
36,1885,2024-03-07,Confirmed,2172.01
37,3096,2024-06-17,Delivered,6994.06
38,696,2024-11-14,Pending,4157.57
39,3403,2026-02-01,Pending,1229.72
40,4956,2025-08-19,Confirmed,5230.06
41,3205,2025-10-06,Confirmed,41657.85
42,2652,2024-12-27,Delivered,25861.6
43,2476,2024-03-06,Shipped,23215.83
44,2165,2024-05-24,Cancelled,23834.32
45,3519,2024-12-06,Pending,11501.52
46,4596,2025-04-03,Shipped,24425.8
47,4369,2026-01-31,Cancelled,12608.39
48,4072,2024-02-29,Delivered,47597.14
49,888,2025-08-24,Delivered,11591.01
50,3256,2024-03-08,Confirmed,22630.72
51,4614,2025-06-14,Pending,32319.52
52,1178,2025-01-17,Pending,5221.76
53,1702,2024-08-03,Delivered,29873.77
54,1158,2024-05-07,Delivered,31016.18
55,4288,2025-06-10,Cancelled,38148.79
56,4043,2024-04-12,Shipped,20887.0
57,1234,2025-01-22,Pending,16411.43
58,4905,2025-09-12,Delivered,43635.68
59,1714,2024-11-12,Cancelled,39837.44
60,4095,2025-08-23,Shipped,47994.03
61,2637,2024-10-10,Delivered,35588.97
62,4545,2025-07-22,Pending,46100.9
63,635,2025-04-22,Delivered,6800.48
64,1328,2024-02-25,Cancelled,37533.36
65,1617,2024-07-31,Delivered,43552.58
66,320,2024-06-07,Delivered,25011.63
67,4298,2025-11-14,Delivered,7423.34
68,3426,2025-08-25,Delivered,958.3
69,3568,2024-06-11,Shipped,36137.18
70,2221,2026-01-04,Cancelled,16458.11
71,4619,2025-02-26,Confirmed,7505.12
72,1675,2025-07-31,Cancelled,47623.77
73,4255,2025-02-26,Cancelled,12936.35
74,1726,2025-05-30,Shipped,46390.44
75,1346,2024-06-29,Cancelled,35896.53
76,81,2025-06-11,Shipped,21107.0
77,3855,2024-07-14,Pending,49668.86
78,2555,2024-02-17,Confirmed,10363.75
79,4406,2024-05-18,Delivered,16886.24
80,3840,2024-04-14,Cancelled,8244.42
81,4581,2025-02-04,Confirmed,17575.39
82,1579,2024-02-26,Shipped,14567.29
83,4788,2025-04-23,Shipped,18680.1
84,2087,2025-03-30,Cancelled,27280.34
85,1660,2025-12-18,Pending,29835.64
86,1774,2024-05-27,Shipped,9327.1
87,839,2025-09-11,Confirmed,39945.78
88,3138,2025-10-05,Shipped,28994.96
89,4955,2025-10-10,Shipped,48349.61
90,3879,2025-11-03,Confirmed,8820.92
91,1774,2024-10-06,Pending,46512.58
92,1201,2025-11-02,Confirmed,8658.51
93,2649,2024-02-12,Pending,44849.69
94,1123,2024-04-05,Cancelled,40458.1
95,3865,2025-04-22,Shipped,15476.64
96,1973,2024-06-11,Cancelled,19965.71
97,3887,2025-03-12,Shipped,15932.21
98,2597,2025-07-30,Cancelled,4370.88
99,1753,2025-10-23,Confirmed,47301.75
100,1171,2024-11-22,Delivered,28244.05
101,2053,2025-06-27,Pending,28116.3
102,2853,2025-05-02,Confirmed,1752.13
103,3819,2025-02-20,Shipped,36560.33
104,4586,2024-09-17,Confirmed,19431.64
105,88,2024-08-13,Confirmed,22382.99
106,1597,2025-08-03,Pending,29516.33
107,771,2025-01-13,Shipped,45832.45
108,107,2025-07-10,Cancelled,14014.88
109,2253,2025-12-05,Delivered,20215.55
110,2073,2026-01-24,Shipped,31450.89
111,250,2025-09-19,Delivered,49862.96
112,3724,2025-11-20,Delivered,9101.66
113,4470,2025-12-06,Pending,2390.58
114,1255,2024-03-12,Confirmed,43610.2
115,679,2024-06-25,Delivered,41786.19
116,460,2024-06-13,Delivered,32055.17
117,2575,2024-04-15,Pending,42965.57
118,1591,2024-11-22,Cancelled,37003.95
119,2593,2025-01-17,Confirmed,45333.38
120,3001,2025-10-04,Cancelled,1201.48
121,3303,2025-12-23,Delivered,41966.98
122,504,2025-12-28,Pending,10050.53
123,1209,2025-07-09,Shipped,4656.45
124,365,2025-05-11,Shipped,30622.19
125,4141,2026-01-17,Delivered,9061.93
126,2550,2024-02-15,Shipped,28247.69
127,2798,2024-06-11,Delivered,28624.58
128,706,2026-01-25,Cancelled,46548.51
129,953,2024-05-12,Pending,9533.8
130,1521,2024-05-10,Shipped,29761.85
131,1388,2024-03-03,Pending,11267.53
