product_id,product_name,category,price,stock_quantity
1,Smartphone consectetur,Electronics,1053.3,664
2,Smartphone quia,Electronics,406.35,124
3,Smartphone earum,Electronics,1321.0,35
4,Smartphone repellendus,Electronics,4910.61,769
5,Smartphone incidunt,Electronics,351.91,291
6,Smartphone cupiditate,Electronics,351.92,260
7,Smartphone minus,Electronics,5342.38,238
8,Smartphone quas,Electronics,1580.92,152
9,Smartphone omnis,Electronics,247.25,764
10,Smartphone asperiores,Electronics,1128.28,114
11,Smartphone ullam,Electronics,249.51,702
12,Smartphone itaque,Electronics,248.64,768
13,Smartphone eius,Electronics,718.78,923
14,Smartphone saepe,Electronics,28.35,568
15,Smartphone placeat,Electronics,37.61,99
16,Smartphone sint,Electronics,215.12,614
17,Smartphone autem,Electronics,109.44,442
18,Smartphone beatae,Electronics,801.09,42
19,Smartphone error,Electronics,128.07,40
20,Smartphone architecto,Electronics,60.11,105
21,Smartphone eaque,Electronics,4505.62,233
22,Smartphone architecto,Electronics,356.36,248
23,Smartphone aliquam,Electronics,553.3,527
24,Smartphone libero,Electronics,59.0,626
25,Smartphone nemo,Electronics,220.97,37
26,Smartphone dolorem,Electronics,590.51,584
27,Smartphone similique,Electronics,88.95,213
28,Smartphone mollitia,Electronics,878.45,743
29,Smartphone ea,Electronics,203.09,675
30,Smartphone nemo,Electronics,322.81,728
31,Smartphone excepturi,Electronics,202.77,568
32,Smartphone atque,Electronics,8046.76,439
33,Smartphone molestias,Electronics,489.98,235
34,Smartphone corporis,Electronics,102.31,469
35,Smartphone enim,Electronics,1717.16,613
36,Smartphone cupiditate,Electronics,80.11,294
37,Smartphone laborum,Electronics,683.96,838
38,Smartphone sint,Electronics,26.45,900
39,Smartphone cupiditate,Electronics,68.19,16
40,Smartphone placeat,Electronics,671.76,787
41,Smartphone amet,Electronics,1513.69,835
42,Smartphone magni,Electronics,646.56,173
43,Smartphone sapiente,Electronics,420.37,724
44,Smartphone atque,Electronics,318.29,442
45,Smartphone enim,Electronics,54.43,358
46,Smartphone ex,Electronics,169.84,294
47,Smartphone occaecati,Electronics,250.55,169
48,Smartphone ut,Electronics,2441.31,230
49,Smartphone eius,Electronics,837.18,990
50,Smartphone veniam,Electronics,35.52,791
51,Smartphone eveniet,Electronics,813.0,354
52,Smartphone occaecati,Electronics,280.62,114
53,Smartphone natus,Electronics,181.13,104
54,Smartphone maxime,Electronics,1251.53,399
55,Smartphone commodi,Electronics,2347.5,109
56,Smartphone assumenda,Electronics,2021.36,377
57,Smartphone quisquam,Electronics,141.99,877
58,Smartphone non,Electronics,314.44,362
59,Smartphone laborum,Electronics,821.81,628
60,Smartphone doloribus,Electronics,2160.13,280
61,Smartphone inventore,Electronics,243.68,836
62,Smartphone ratione,Electronics,378.46,54
63,Smartphone nisi,Electronics,95.12,757
64,Smartphone veritatis,Electronics,83.12,480
65,Smartphone nobis,Electronics,1691.54,559
66,Smartphone modi,Electronics,3823.68,137
67,Smartphone iste,Electronics,448.81,954
68,Smartphone maxime,Electronics,2252.75,397
69,Smartphone voluptatem,Electronics,860.11,90
70,Smartphone aperiam,Electronics,189.98,575
71,Smartphone autem,Electronics,859.8,310
72,Smartphone natus,Electronics,5022.4,859
73,Smartphone tempora,Electronics,473.84,653
74,Smartphone ipsum,Electronics,5226.9,643
75,Smartphone ratione,Electronics,9.83,916
76,Smartphone omnis,Electronics,1715.5,892
